sample,substrate_shift,perov_100_shift,substrate_fwhm,perov_fwhm_median
control,0,0,0.4588417879,0.2066003575
passivator-01,0.06859796098,0.124799086,0.3591320239,0.1566824409
passivator-02,0.1373592635,0.183828756,0.4580518298,0.28491474
passivator-03,0.3501589529,0.4062759657,0.6618729497,0.3854911128
passivator-04,0.02737917923,0.09633991159,0.4461354599,0.3199305399
passivator-05,0.03972967275,0.05835895831,0.3401656689,0.1660452768
