      Step     Time          Energy          fmax
FIRE:    0 13:25:59      -14.116325        0.377446
FIRE:    1 13:26:00      -14.120527        0.364597
FIRE:    2 13:26:00      -14.128364        0.339351
FIRE:    3 13:26:00      -14.138779        0.302580
FIRE:    4 13:26:00      -14.150363        0.255531
FIRE:    5 13:26:00      -14.161562        0.199770
FIRE:    6 13:26:00      -14.170856        0.137131
FIRE:    7 13:26:00      -14.176987        0.069661
FIRE:    8 13:26:00      -14.179090        0.007683
