      Step     Time          Energy          fmax
FIRE:    0 13:27:22     -452.318604        5.425618
FIRE:    1 13:27:23     -452.776062        3.607630
FIRE:    2 13:27:23     -453.199310        1.711281
FIRE:    3 13:27:24     -453.373627        0.863425
FIRE:    4 13:27:25     -453.416870        0.705095
FIRE:    5 13:27:25     -453.425018        0.923469
FIRE:    6 13:27:26     -453.441101        0.984181
FIRE:    7 13:27:27     -453.472595        0.907925
FIRE:    8 13:27:27     -453.511627        0.764388
FIRE:    9 13:27:28     -453.549194        0.612249
FIRE:   10 13:27:29     -453.583252        0.501327
FIRE:   11 13:27:29     -453.615082        0.445082
FIRE:   12 13:27:30     -453.644775        0.411730
FIRE:   13 13:27:31     -453.669525        0.339088
FIRE:   14 13:27:31     -453.685699        0.262240
FIRE:   15 13:27:32     -453.692871        0.309530
FIRE:   16 13:27:33     -453.697235        0.410749
FIRE:   17 13:27:33     -453.704163        0.386232
FIRE:   18 13:27:34     -453.716248        0.342058
FIRE:   19 13:27:35     -453.730865        0.286748
FIRE:   20 13:27:35     -453.745148        0.230579
FIRE:   21 13:27:36     -453.756836        0.183225
FIRE:   22 13:27:37     -453.765381        0.150399
FIRE:   23 13:27:37     -453.771240        0.149215
FIRE:   24 13:27:38     -453.776276        0.195209
FIRE:   25 13:27:39     -453.781555        0.215818
FIRE:   26 13:27:39     -453.787659        0.203718
FIRE:   27 13:27:40     -453.793884        0.152317
FIRE:   28 13:27:41     -453.797974        0.088876
