scale,D_nm,n_used
0.5,38.39208645771289,8
0.7,40.153610587921726,8
0.85,41.731082918213765,8
1.0,43.74787382921483,8
1.15,46.480126734941635,8
1.3,50.12295590591698,7
1.5,50.3409425604169,6
